progress,x,y
0.00025,412.82096045431945,-202.54932986538137
0.00075,409.9506617685369,-202.3379391843778
0.00125,407.0838830947018,-202.12285316287242
0.00175,404.2280363205082,-201.91124025964663
0.00225,401.36633381154763,-201.69069187254985
0.00275,398.4960143934578,-201.47343617995023
0.00325,395.63052674961705,-201.251876096947
0.00375,392.7645052442407,-201.0225786059076
0.00425,389.89518813426145,-200.79056389170273
0.00475,387.0264765367192,-200.5633519101359
0.00525,384.16034750446113,-200.3319002972327
0.00575,381.3034847593631,-200.1104581719955
0.00625,378.4388073400082,-199.88142130563605
0.00675,375.5680188095423,-199.65525643108407
0.00725,372.7031597929306,-199.41302333411014
0.00775,369.83144124925957,-199.1683215797242
0.00825,366.9579657257735,-198.93568575629465
0.00875,364.09636925026564,-198.69721801435912
0.00925,361.23669183091084,-198.4571776917785
0.00975,358.37296800521756,-198.22047140994488
0.01025,355.5092753057269,-197.98116410943555
0.01075,352.63730257398186,-197.73192944782897
0.01125,349.76523584406414,-197.49625107970752
0.01175,346.8987227872285,-197.24368741247494
0.01225,344.0319928694549,-196.9928145471998
0.01275,341.16567715858275,-196.75427960096323
0.01325,338.3015299943407,-196.51178539898137
0.01375,335.436367298438,-196.27201731970666
0.01425,332.585209498023,-196.02902354494717
0.01475,329.7056396055499,-195.778038825083
0.01525,326.8187401748098,-195.52734280990273
0.01575,323.9558086524556,-195.2765987771453
0.01625,321.0972943506775,-195.026944549863
0.01675,318.2294769577328,-194.78781155608823
0.01725,315.3462977989725,-194.542330057037
0.01775,312.4721580140262,-194.294894573166
0.01825,309.61042098050314,-194.04646478189468
0.01875,306.74433156341206,-193.8015445781595
0.01925,303.8706850816161,-193.56219917163247
0.01975,301.002420492249,-193.30168384156156
0.02025,298.1382851875895,-193.06289889532496
0.02075,295.27167079093476,-192.8107707591243
0.02125,292.3907193611268,-192.56507216729366
0.02175,289.5159478557505,-192.31097539310008
0.02225,286.6506551436836,-192.06559904901408
0.02275,283.784538687669,-191.82210159570337
0.02325,280.92209320013615,-191.57747760688883
0.02375,278.0587464259426,-191.32149373592108
0.02425,275.18304302092463,-191.06643459613616
0.02475,272.305743140399,-190.8086344169247
0.02525,269.42828920089073,-190.5518149488998
0.02575,266.5579128568047,-190.29779881986752
0.02625,263.69813353288873,-190.05348509437732
0.02675,260.8374256475841,-189.78783097251352
0.02725,257.97164449641394,-189.5508310723837
0.02775,255.11395948692626,-189.29045156574233
0.02825,252.2511832025774,-189.02880730050936
0.02875,249.3781686770162,-188.76745849839654
0.02925,246.49891836908319,-188.50440446863524
0.02975,243.61860215516126,-188.24422620038396
0.03025,240.75048071303604,-187.98984090127283
0.03075,237.88991777818467,-187.735443368066
0.03125,235.0270145523782,-187.48278049646575
0.03175,232.1565028842135,-187.22243095087498
0.03225,229.28721296111354,-186.95132738550996
0.03275,226.425029216648,-186.68539759423862
0.03325,223.55848202429436,-186.42384741502713
0.03375,220.6813688223828,-186.16916103509885
0.03425,217.80212716986438,-185.90599974477627
0.03475,214.93347974485022,-185.64125016922446
0.03525,212.10807629314698,-184.94446838554325
0.03575,209.28783659780646,-184.24272913823145
0.03625,206.4543652510426,-183.63598213538876
0.03675,203.620141100463,-183.09085354329923
0.03725,200.78059912362266,-182.58611408920493
0.03775,197.92877594560593,-182.12480226124794
0.03825,195.0708810830014,-181.67881516447375
0.03875,192.20997576715837,-181.253444320484
0.03925,189.35432494655848,-180.83995875172337
0.03975,186.503458214724,-180.45298709971945
0.04025,183.64930648234645,-180.05445663376963
0.04075,180.79732662230208,-179.65774388415366
0.04125,177.94996103090423,-179.25776001318593
0.04175,175.10057856144786,-178.88943084110963
0.04225,172.24359710593907,-178.53788650575044
0.04275,169.3805797531354,-178.18607559905956
0.04325,166.51472330302846,-177.80152151936315
0.04375,163.6423645387342,-177.45010318859
0.04425,160.77495407709625,-177.09749909771764
0.04475,157.91739575476714,-176.7305362605171
0.04525,155.07030474094225,-176.34877742795183
0.04575,152.2185337099492,-175.98943776950782
0.04625,149.3609530647879,-175.636324866282
0.04675,146.5072179204755,-175.2766417876176
0.04725,143.6609542950726,-174.90027654069948
0.04775,140.8042525527921,-174.56356099817748
0.04825,137.93864893597882,-174.2199979483241
0.04875,135.0721316122034,-173.8621126436646
0.04925,132.2091507280935,-173.49916999133487
0.04975,129.35346569439486,-173.1286421320973
0.05025,126.49731276727422,-172.7624503758249
0.05075,123.60062049896905,-172.86563317152383
0.05125,120.69826162800129,-172.94386704249158
0.05175,117.80720489830163,-172.91107282669626
0.05225,114.92080221297421,-172.84320117624395
0.05275,112.03275244133398,-172.74635577760333
0.05325,109.15602125853829,-172.58318731882196
0.05375,106.28892261431201,-172.40188128796643
0.05425,103.42568598135514,-172.21150260633948
0.05475,100.5550184288835,-172.03145241072423
0.05525,97.68301400433239,-171.80925145378643
0.05575,94.81086346669798,-171.60686435701223
0.05625,91.93430688707689,-171.42259861200455
0.05675,89.05298235139752,-171.22738453575823
0.05725,86.16747018388196,-170.9869431096122
0.05775,83.29020338434454,-170.76235463984034
0.05825,80.42560711105261,-170.50738502787212
0.05875,77.55733607503963,-170.32125599561402
0.05925,74.70442004841394,-170.07387504323307
0.05975,71.84645793883891,-169.85381359930065
0.06025,68.98243165449006,-169.63265589320747
0.06075,66.1037834210031,-169.44657015099267
0.06125,63.22987450259704,-169.2209382724348
0.06175,60.360658316971694,-169.00373283949767
0.06225,57.48065690214429,-168.78381914396851
0.06275,54.58898114504076,-168.5897222139389
0.06325,51.72078303490717,-168.3549323801168
0.06375,48.85899417860219,-168.1349147848089
0.06425,45.99184364096779,-167.92339865577662
0.06475,43.12842070189968,-167.70677141563326
0.06525,40.27108932360056,-167.51063260820413
0.06575,37.407887412011554,-167.31179465310132
0.06625,34.54080258524931,-167.08670504736656
0.06675,31.6705098731824,-166.87327852406906
0.06725,28.791211627568366,-166.6902598483475
0.06775,25.911555497997124,-166.4707643353715
0.06825,23.034320396382846,-166.24485393193945
0.06875,20.158155521830878,-166.03048117208283
0.06925,17.279803747897052,-165.83157358286667
0.06975,14.400783141352228,-165.63240849747768
0.07025,11.529508921831166,-165.40754641239118
0.07075,8.659206981020883,-165.19113774366053
0.07125,5.79049730360153,-164.97098451785408
0.07175,2.930324065847648,-164.7266941952734
0.07225,0.06376801295882806,-164.51871302533982
0.07275,-2.8026656233140184,-164.30171512261336
0.07325,-5.6735965797373344,-164.06219559799536
0.07375,-8.555948516927982,-163.84194470193802
0.07425,-11.435981372364061,-163.6077511535509
0.07475,-14.318771097573142,-163.39074398509212
0.07525,-17.197863092794172,-163.14357552631077
0.07575,-20.077483586152805,-162.929247253066
0.07625,-22.94452975946084,-162.6810292092502
0.07675,-25.8157505058239,-162.4474428714893
0.07725,-28.69086526404562,-162.21789561625445
0.07775,-31.55874160813164,-161.98404520512224
0.07825,-34.41847525069261,-161.74415484037422
0.07875,-37.28332871896164,-161.51979683910918
0.07925,-40.149529435807516,-161.2784133265644
0.07975,-43.0210178342229,-161.04950500737934
0.08025,-45.89643423734329,-160.81055919249422
0.08075,-48.778572827546405,-160.56966313514656
0.08125,-51.6583957244471,-160.33627254291645
0.08175,-54.538132252146276,-160.10216577060933
0.08225,-57.41538946327445,-159.8682282386073
